Date,Type,Category,Amount,Description
2024-03-01,income,Salary,61420,"Monthly Salary (Synthetic)"
2024-03-01,expense,Entertainment,1155,"Synthetic Entertainment Expense"
2024-03-04,expense,Healthcare,2070,"Synthetic Healthcare Expense"
2024-03-05,expense,Housing,18898,"Rent Payment"
2024-03-06,expense,Transport,1268,"Synthetic Transport Expense"
2024-03-07,expense,Food,3246,"Grocery Run Week 1"
2024-03-10,expense,Bills,4725,"Electricity & Internet"
2024-03-14,expense,Food,3216,"Grocery Run Week 2"
2024-03-20,income,Bonus,28348,"Performance Bonus"
2024-03-21,expense,Food,2439,"Grocery Run Week 3"
2024-03-23,expense,Shopping,1514,"Synthetic Shopping Expense"
2024-03-25,expense,Entertainment,1440,"Synthetic Entertainment Expense"
2024-03-28,expense,Food,2859,"Grocery Run Week 4"
2024-04-01,income,Salary,61571,"Monthly Salary (Synthetic)"
2024-04-05,expense,Housing,18945,"Rent Payment"
2024-04-07,expense,Food,2664,"Grocery Run Week 1"
2024-04-10,expense,Bills,4736,"Electricity & Internet"
2024-04-13,expense,Shopping,2558,"Synthetic Shopping Expense"
2024-04-14,expense,Food,3123,"Grocery Run Week 2"
2024-04-18,expense,Healthcare,1773,"Synthetic Healthcare Expense"
2024-04-21,expense,Food,2467,"Grocery Run Week 3"
2024-04-23,expense,Entertainment,2933,"Synthetic Entertainment Expense"
2024-04-27,expense,Shopping,2777,"Synthetic Shopping Expense"
2024-04-28,expense,Food,2898,"Grocery Run Week 4"
2024-05-01,income,Salary,61723,"Monthly Salary (Synthetic)"
2024-05-05,expense,Housing,18992,"Rent Payment"
2024-05-07,expense,Food,2506,"Grocery Run Week 1"
2024-05-10,expense,Bills,4748,"Electricity & Internet"
2024-05-14,expense,Food,2720,"Grocery Run Week 2"
2024-05-21,expense,Food,2883,"Grocery Run Week 3"
2024-05-21,expense,Transport,1947,"Synthetic Transport Expense"
2024-05-25,expense,Entertainment,3120,"Synthetic Entertainment Expense"
2024-05-28,expense,Food,3134,"Grocery Run Week 4"
2024-05-28,expense,Healthcare,3646,"Synthetic Healthcare Expense"
2024-06-01,income,Salary,61875,"Monthly Salary (Synthetic)"
2024-06-04,expense,Entertainment,3537,"Synthetic Entertainment Expense"
2024-06-04,expense,Entertainment,3171,"Synthetic Entertainment Expense"
2024-06-05,expense,Housing,19039,"Rent Payment"
2024-06-07,expense,Food,3174,"Grocery Run Week 1"
2024-06-10,expense,Bills,4760,"Electricity & Internet"
2024-06-11,expense,Shopping,2953,"Synthetic Shopping Expense"
2024-06-14,expense,Food,3036,"Grocery Run Week 2"
2024-06-18,expense,Shopping,1900,"Synthetic Shopping Expense"
2024-06-21,expense,Food,2584,"Grocery Run Week 3"
2024-06-28,expense,Food,2946,"Grocery Run Week 4"
2024-07-01,income,Salary,62028,"Monthly Salary (Synthetic)"
2024-07-03,expense,Entertainment,1397,"Synthetic Entertainment Expense"
2024-07-05,expense,Housing,19086,"Rent Payment"
2024-07-07,expense,Food,2664,"Grocery Run Week 1"
2024-07-10,expense,Bills,4771,"Electricity & Internet"
2024-07-11,expense,Healthcare,988,"Synthetic Healthcare Expense"
2024-07-11,expense,Entertainment,2003,"Synthetic Entertainment Expense"
2024-07-14,expense,Food,3131,"Grocery Run Week 2"
2024-07-18,expense,Shopping,1671,"Synthetic Shopping Expense"
2024-07-21,expense,Food,3011,"Grocery Run Week 3"
2024-07-25,expense,Transport,2458,"Synthetic Transport Expense"
2024-07-28,expense,Food,2778,"Grocery Run Week 4"
2024-08-01,income,Salary,62181,"Monthly Salary (Synthetic)"
2024-08-03,expense,Healthcare,1234,"Synthetic Healthcare Expense"
2024-08-05,expense,Housing,19133,"Rent Payment"
2024-08-07,expense,Food,2740,"Grocery Run Week 1"
2024-08-10,expense,Bills,4783,"Electricity & Internet"
2024-08-10,expense,Transport,2309,"Synthetic Transport Expense"
2024-08-14,expense,Food,2599,"Grocery Run Week 2"
2024-08-15,expense,Transport,1965,"Synthetic Transport Expense"
2024-08-15,expense,Transport,2954,"Synthetic Transport Expense"
2024-08-21,expense,Food,2820,"Grocery Run Week 3"
2024-08-28,expense,Food,2612,"Grocery Run Week 4"
2024-09-01,income,Salary,62334,"Monthly Salary (Synthetic)"
2024-09-05,expense,Housing,19180,"Rent Payment"
2024-09-05,expense,Entertainment,2702,"Synthetic Entertainment Expense"
2024-09-07,expense,Food,2818,"Grocery Run Week 1"
2024-09-08,expense,Shopping,2806,"Synthetic Shopping Expense"
2024-09-10,expense,Bills,4795,"Electricity & Internet"
2024-09-14,expense,Food,3113,"Grocery Run Week 2"
2024-09-16,expense,Entertainment,3334,"Synthetic Entertainment Expense"
2024-09-19,expense,Transport,3343,"Synthetic Transport Expense"
2024-09-21,expense,Food,3210,"Grocery Run Week 3"
2024-09-28,expense,Food,3090,"Grocery Run Week 4"
2024-10-01,income,Salary,62488,"Monthly Salary (Synthetic)"
2024-10-05,expense,Housing,19227,"Rent Payment"
2024-10-05,expense,Healthcare,1667,"Synthetic Healthcare Expense"
2024-10-07,expense,Food,3041,"Grocery Run Week 1"
2024-10-10,expense,Bills,4807,"Electricity & Internet"
2024-10-14,expense,Food,2936,"Grocery Run Week 2"
2024-10-14,expense,Entertainment,1653,"Synthetic Entertainment Expense"
2024-10-18,expense,Healthcare,2350,"Synthetic Healthcare Expense"
2024-10-21,expense,Food,3038,"Grocery Run Week 3"
2024-10-22,expense,Entertainment,1893,"Synthetic Entertainment Expense"
2024-10-24,expense,Shopping,2243,"Synthetic Shopping Expense"
2024-10-28,expense,Food,3300,"Grocery Run Week 4"
2024-11-01,income,Salary,62642,"Monthly Salary (Synthetic)"
2024-11-05,expense,Housing,19275,"Rent Payment"
2024-11-07,expense,Food,2506,"Grocery Run Week 1"
2024-11-07,expense,Entertainment,4249,"Synthetic Entertainment Expense"
2024-11-10,expense,Bills,4819,"Electricity & Internet"
2024-11-13,expense,Transport,2279,"Synthetic Transport Expense"
2024-11-14,expense,Food,2992,"Grocery Run Week 2"
2024-11-21,expense,Food,2793,"Grocery Run Week 3"
2024-11-21,expense,Shopping,4305,"Synthetic Shopping Expense"
2024-11-28,expense,Food,2596,"Grocery Run Week 4"
2024-12-01,income,Salary,62797,"Monthly Salary (Synthetic)"
2024-12-01,expense,Entertainment,1775,"Synthetic Entertainment Expense"
2024-12-05,expense,Housing,19322,"Rent Payment"
2024-12-06,expense,Transport,1925,"Synthetic Transport Expense"
2024-12-07,expense,Food,3075,"Grocery Run Week 1"
2024-12-10,expense,Bills,4831,"Electricity & Internet"
2024-12-12,expense,Transport,2783,"Synthetic Transport Expense"
2024-12-14,expense,Food,3293,"Grocery Run Week 2"
2024-12-21,expense,Food,3024,"Grocery Run Week 3"
2024-12-22,expense,Shopping,2031,"Synthetic Shopping Expense"
2024-12-28,expense,Food,2884,"Grocery Run Week 4"
2025-01-01,income,Salary,62952,"Monthly Salary (Synthetic)"
2025-01-05,expense,Housing,19370,"Rent Payment"
2025-01-07,expense,Food,2632,"Grocery Run Week 1"
2025-01-10,expense,Bills,4842,"Electricity & Internet"
2025-01-12,expense,Shopping,1816,"Synthetic Shopping Expense"
2025-01-14,expense,Food,2979,"Grocery Run Week 2"
2025-01-20,expense,Healthcare,1771,"Synthetic Healthcare Expense"
2025-01-21,expense,Food,2768,"Grocery Run Week 3"
2025-01-26,expense,Transport,2660,"Synthetic Transport Expense"
2025-01-26,expense,Shopping,3067,"Synthetic Shopping Expense"
2025-01-28,expense,Food,2773,"Grocery Run Week 4"
2025-02-01,income,Salary,63107,"Monthly Salary (Synthetic)"
2025-02-05,expense,Housing,19417,"Rent Payment"
2025-02-05,expense,Entertainment,2253,"Synthetic Entertainment Expense"
2025-02-07,expense,Food,3212,"Grocery Run Week 1"
2025-02-10,expense,Bills,4854,"Electricity & Internet"
2025-02-11,expense,Entertainment,3066,"Synthetic Entertainment Expense"
2025-02-14,expense,Food,2866,"Grocery Run Week 2"
2025-02-15,expense,Healthcare,14563,"Unexpected Medical Expense"
2025-02-21,expense,Food,2600,"Grocery Run Week 3"
2025-02-26,expense,Healthcare,1613,"Synthetic Healthcare Expense"
2025-02-28,expense,Food,3176,"Grocery Run Week 4"
2025-02-28,expense,Shopping,2710,"Synthetic Shopping Expense"
2025-03-01,income,Salary,63262,"Monthly Salary (Synthetic)"
2025-03-02,expense,Entertainment,1109,"Synthetic Entertainment Expense"
2025-03-05,expense,Housing,19465,"Rent Payment"
2025-03-07,expense,Food,2963,"Grocery Run Week 1"
2025-03-07,expense,Transport,2821,"Synthetic Transport Expense"
2025-03-10,expense,Bills,4866,"Electricity & Internet"
2025-03-14,expense,Food,3041,"Grocery Run Week 2"
2025-03-15,expense,Transport,2827,"Synthetic Transport Expense"
2025-03-15,expense,Healthcare,1043,"Synthetic Healthcare Expense"
2025-03-19,expense,Transport,2785,"Synthetic Transport Expense"
2025-03-21,expense,Food,3111,"Grocery Run Week 3"
2025-03-28,expense,Food,2487,"Grocery Run Week 4"
2025-04-01,income,Salary,63418,"Monthly Salary (Synthetic)"
2025-04-05,expense,Housing,19513,"Rent Payment"
2025-04-06,expense,Transport,2060,"Synthetic Transport Expense"
2025-04-07,expense,Food,2622,"Grocery Run Week 1"
2025-04-10,expense,Bills,4878,"Electricity & Internet"
2025-04-14,expense,Food,3113,"Grocery Run Week 2"
2025-04-14,expense,Shopping,3961,"Synthetic Shopping Expense"
2025-04-21,expense,Food,2714,"Grocery Run Week 3"
2025-04-22,expense,Entertainment,2181,"Synthetic Entertainment Expense"
2025-04-28,expense,Food,3232,"Grocery Run Week 4"
2025-05-01,income,Salary,63575,"Monthly Salary (Synthetic)"
2025-05-02,expense,Entertainment,4853,"Synthetic Entertainment Expense"
2025-05-03,expense,Transport,4126,"Synthetic Transport Expense"
2025-05-05,expense,Housing,19561,"Rent Payment"
2025-05-07,expense,Food,2516,"Grocery Run Week 1"
2025-05-10,expense,Bills,4890,"Electricity & Internet"
2025-05-14,expense,Food,2568,"Grocery Run Week 2"
2025-05-15,expense,Transport,3862,"Synthetic Transport Expense"
2025-05-21,expense,Food,2515,"Grocery Run Week 3"
2025-05-28,expense,Food,2608,"Grocery Run Week 4"
2025-06-01,income,Salary,63732,"Monthly Salary (Synthetic)"
2025-06-03,expense,Shopping,2538,"Synthetic Shopping Expense"
2025-06-05,expense,Housing,19610,"Rent Payment"
2025-06-07,expense,Food,2608,"Grocery Run Week 1"
2025-06-07,expense,Entertainment,2282,"Synthetic Entertainment Expense"
2025-06-08,expense,Healthcare,2656,"Synthetic Healthcare Expense"
2025-06-10,expense,Bills,4902,"Electricity & Internet"
2025-06-13,expense,Healthcare,1474,"Synthetic Healthcare Expense"
2025-06-14,expense,Food,3361,"Grocery Run Week 2"
2025-06-15,expense,Shopping,1523,"Synthetic Shopping Expense"
2025-06-21,expense,Food,2557,"Grocery Run Week 3"
2025-06-28,expense,Food,3319,"Grocery Run Week 4"
2025-07-01,income,Salary,63889,"Monthly Salary (Synthetic)"
2025-07-02,expense,Healthcare,3506,"Synthetic Healthcare Expense"
2025-07-05,expense,Housing,19658,"Rent Payment"
2025-07-07,expense,Food,2985,"Grocery Run Week 1"
2025-07-08,expense,Shopping,2154,"Synthetic Shopping Expense"
2025-07-10,expense,Bills,4915,"Electricity & Internet"
2025-07-10,expense,Shopping,3602,"Synthetic Shopping Expense"
2025-07-14,expense,Food,2927,"Grocery Run Week 2"
2025-07-21,expense,Food,2782,"Grocery Run Week 3"
2025-07-28,expense,Food,3007,"Grocery Run Week 4"
2025-08-01,income,Salary,64046,"Monthly Salary (Synthetic)"
2025-08-05,expense,Housing,19707,"Rent Payment"
2025-08-07,expense,Food,2987,"Grocery Run Week 1"
2025-08-10,expense,Bills,4927,"Electricity & Internet"
2025-08-10,expense,Shopping,3569,"Synthetic Shopping Expense"
2025-08-11,expense,Transport,1371,"Synthetic Transport Expense"
2025-08-14,expense,Food,3341,"Grocery Run Week 2"
2025-08-15,expense,Entertainment,2944,"Synthetic Entertainment Expense"
2025-08-17,expense,Transport,3622,"Synthetic Transport Expense"
2025-08-21,expense,Food,2601,"Grocery Run Week 3"
2025-08-28,expense,Food,3375,"Grocery Run Week 4"
2025-09-01,income,Salary,64204,"Monthly Salary (Synthetic)"
2025-09-05,expense,Housing,19755,"Rent Payment"
2025-09-07,expense,Food,2617,"Grocery Run Week 1"
2025-09-07,expense,Entertainment,2605,"Synthetic Entertainment Expense"
2025-09-10,expense,Bills,4939,"Electricity & Internet"
2025-09-11,expense,Shopping,2130,"Synthetic Shopping Expense"
2025-09-14,expense,Food,2833,"Grocery Run Week 2"
2025-09-19,expense,Entertainment,2221,"Synthetic Entertainment Expense"
2025-09-20,expense,Healthcare,1899,"Synthetic Healthcare Expense"
2025-09-21,expense,Food,2849,"Grocery Run Week 3"
2025-09-28,expense,Food,3037,"Grocery Run Week 4"
2025-10-01,income,Salary,64363,"Monthly Salary (Synthetic)"
2025-10-02,expense,Healthcare,1167,"Synthetic Healthcare Expense"
2025-10-05,expense,Housing,19804,"Rent Payment"
2025-10-07,expense,Food,3018,"Grocery Run Week 1"
2025-10-09,expense,Healthcare,1147,"Synthetic Healthcare Expense"
2025-10-10,expense,Bills,4951,"Electricity & Internet"
2025-10-14,expense,Food,2813,"Grocery Run Week 2"
2025-10-21,expense,Food,3184,"Grocery Run Week 3"
2025-10-25,expense,Healthcare,2068,"Synthetic Healthcare Expense"
2025-10-26,expense,Entertainment,1537,"Synthetic Entertainment Expense"
2025-10-28,expense,Food,3100,"Grocery Run Week 4"
2025-10-28,expense,Shopping,2338,"Synthetic Shopping Expense"
2025-11-01,income,Salary,64521,"Monthly Salary (Synthetic)"
2025-11-05,expense,Housing,19853,"Rent Payment"
2025-11-06,expense,Shopping,2368,"Synthetic Shopping Expense"
2025-11-07,expense,Food,2862,"Grocery Run Week 1"
2025-11-07,expense,Healthcare,2090,"Synthetic Healthcare Expense"
2025-11-10,expense,Bills,4963,"Electricity & Internet"
2025-11-14,expense,Food,2888,"Grocery Run Week 2"
2025-11-21,expense,Food,2970,"Grocery Run Week 3"
2025-11-22,expense,Healthcare,2382,"Synthetic Healthcare Expense"
2025-11-24,expense,Entertainment,1691,"Synthetic Entertainment Expense"
2025-11-28,expense,Food,3264,"Grocery Run Week 4"
2025-11-28,expense,Transport,2854,"Synthetic Transport Expense"
2025-12-01,income,Salary,64681,"Monthly Salary (Synthetic)"
2025-12-05,expense,Housing,19902,"Rent Payment"
2025-12-06,expense,Transport,2525,"Synthetic Transport Expense"
2025-12-06,expense,Transport,2872,"Synthetic Transport Expense"
2025-12-07,expense,Food,3322,"Grocery Run Week 1"
2025-12-09,expense,Entertainment,1862,"Synthetic Entertainment Expense"
2025-12-10,expense,Bills,4975,"Electricity & Internet"
2025-12-14,expense,Food,2574,"Grocery Run Week 2"
2025-12-21,expense,Food,3127,"Grocery Run Week 3"
2025-12-23,expense,Shopping,1888,"Synthetic Shopping Expense"
2025-12-23,expense,Entertainment,2662,"Synthetic Entertainment Expense"
2025-12-28,expense,Food,3380,"Grocery Run Week 4"
2026-01-01,income,Salary,64840,"Monthly Salary (Synthetic)"
