UserID,Date,Type,Category,Amount,Description
USR_0001,2026-02-01,income,Salary,63689,"Monthly Salary (Synthetic)"
USR_0001,2026-02-05,expense,Housing,16284,"Rent Payment"
USR_0001,2026-02-10,expense,Bills,6150,"Electricity & Internet"
USR_0001,2026-02-02,expense,Food,2590,"Grocery Run"
USR_0001,2026-02-08,expense,Food,1794,"Grocery Run"
USR_0001,2026-02-16,expense,Food,2179,"Grocery Run"
USR_0001,2026-02-22,expense,Food,2106,"Grocery Run"
USR_0001,2026-02-23,expense,Healthcare,1423,"Synthetic Healthcare Expense"
USR_0001,2026-02-02,expense,Entertainment,1289,"Synthetic Entertainment Expense"
USR_0001,2026-02-10,expense,Entertainment,1630,"Synthetic Entertainment Expense"
USR_0001,2026-02-16,expense,Healthcare,232,"Synthetic Healthcare Expense"
USR_0001,2026-02-01,expense,Personal,2060,"Synthetic Personal Expense"
USR_0001,2026-02-25,expense,Personal,1759,"Synthetic Personal Expense"
USR_0001,2026-02-05,expense,Transport,1262,"Synthetic Transport Expense"
USR_0001,2026-02-01,expense,Personal,1562,"Synthetic Personal Expense"
USR_0001,2026-02-07,expense,Miscellaneous,1128,"Synthetic Miscellaneous Expense"
USR_0001,2026-02-28,expense,Healthcare,1433,"Synthetic Healthcare Expense"
USR_0001,2026-01-01,income,Salary,63532,"Monthly Salary (Synthetic)"
USR_0001,2026-01-05,expense,Housing,16244,"Rent Payment"
USR_0001,2026-01-10,expense,Bills,6135,"Electricity & Internet"
USR_0001,2026-01-28,expense,Food,2058,"Grocery Run"
USR_0001,2026-01-15,expense,Food,1938,"Grocery Run"
USR_0001,2026-01-19,expense,Food,1803,"Grocery Run"
USR_0001,2026-01-20,expense,Food,1701,"Grocery Run"
USR_0001,2026-01-25,expense,Food,1535,"Grocery Run"
USR_0001,2026-01-05,expense,Transport,2053,"Synthetic Transport Expense"
USR_0001,2026-01-20,expense,Transport,2181,"Synthetic Transport Expense"
USR_0001,2026-01-13,expense,Miscellaneous,460,"Synthetic Miscellaneous Expense"
USR_0001,2026-01-01,expense,Personal,422,"Synthetic Personal Expense"
